source_phase,experiment_id,method,method_short,model,seed_name,split,true_label,pred_label,count,row_total,row_rate
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,二胡,31,31,1.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,琵琶,0,31,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,中阮,0,31,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,笛子,0,31,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,唢呐,0,31,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,二胡,笙,0,31,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,二胡,0,4,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,琵琶,4,4,1.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,中阮,0,4,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,笛子,0,4,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,唢呐,0,4,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,琵琶,笙,0,4,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,二胡,0,41,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,琵琶,0,41,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,中阮,41,41,1.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,笛子,0,41,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,唢呐,0,41,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,中阮,笙,0,41,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,笛子,二胡,0,40,0.0
1,exp01_mfcc_svm,MFCC+SVM,mfcc_svm,mfcc_svm,seed0,test,笛子,琵琶,0,40,0.0
