method,model,layer_index,layer_name,split,label_id,label,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,0,二胡,0.0,0.0,0.0,0.0,0.0,0.0
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,1,琵琶,0.6586851877796631,0.04981135600507167,0.5987046902029746,0.07182539452103423,0.7411764705882353,0.09188529030478416
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,2,中阮,0.04839633447880864,0.011656126568690889,1.0,0.0,0.02482269503546093,0.006142024140315153
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,3,笛子,0.5143341503560487,0.032535784971910155,0.34798498608586975,0.029937909669807704,0.9893617021276596,0.010638297872340385
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,4,唢呐,0.3833405626788706,0.05119400235444278,0.2412404864212093,0.03997808006399554,0.9481481481481482,0.012830005981991766
MERT layer probe,mert_v1_95m,0,embedding_output,external_test,5,笙,0.1773099751728554,0.04688042773961842,0.43220811051693403,0.08073311471951715,0.1135940409683426,0.03591676261077451
MERT layer probe,mert_v1_95m,0,embedding_output,test,0,二胡,0.969067969067969,0.040612441341775114,0.9419642857142857,0.07510091000562825,1.0,0.0
MERT layer probe,mert_v1_95m,0,embedding_output,test,1,琵琶,1.0,0.0,1.0,0.0,1.0,0.0
MERT layer probe,mert_v1_95m,0,embedding_output,test,2,中阮,1.0,0.0,1.0,0.0,1.0,0.0
MERT layer probe,mert_v1_95m,0,embedding_output,test,3,笛子,0.9713903468148605,0.039106584769810444,1.0,0.0,0.9462121212121213,0.0725969476245917
MERT layer probe,mert_v1_95m,0,embedding_output,test,4,唢呐,0.9359554730983302,0.025571436042113052,0.9723639455782314,0.03187074376175199,0.9027149321266967,0.033327872992434865
MERT layer probe,mert_v1_95m,0,embedding_output,test,5,笙,0.9203734671125976,0.006420366705871274,0.8722415795586528,0.02615175435353716,0.9751540449214868,0.0256779790388935
MERT layer probe,mert_v1_95m,0,embedding_output,val,0,二胡,0.9763835343862705,0.0056236533453228885,0.9538961038961039,0.010729033533674296,1.0,0.0
MERT layer probe,mert_v1_95m,0,embedding_output,val,1,琵琶,0.9408866995073891,0.0745455465538008,1.0,0.0,0.8944444444444444,0.12945755775256715
